data,ano,mes,nome_mes,dia,dia_semana,nome_dia_semana,trimestre,semestre,eh_final_de_semana,eh_dia_util
2011-05-20,2011,5,Maio,20,6,Sexta-Feira,2,1,False,True
2011-05-21,2011,5,Maio,21,7,Sábado,2,1,True,False
2011-05-23,2011,5,Maio,23,2,Segunda-Feira,2,1,False,True
2011-05-24,2011,5,Maio,24,3,Terça-Feira,2,1,False,True
2011-05-25,2011,5,Maio,25,4,Quarta-Feira,2,1,False,True
2011-05-29,2011,5,Maio,29,1,Domingo,2,1,True,False
2011-05-30,2011,5,Maio,30,2,Segunda-Feira,2,1,False,True
2011-06-01,2011,6,Junho,1,4,Quarta-Feira,2,1,False,True
2011-06-04,2011,6,Junho,4,7,Sábado,2,1,True,False
2011-06-06,2011,6,Junho,6,2,Segunda-Feira,2,1,False,True
2011-06-08,2011,6,Junho,8,4,Quarta-Feira,2,1,False,True
2011-06-09,2011,6,Junho,9,5,Quinta-Feira,2,1,False,True
2011-06-13,2011,6,Junho,13,2,Segunda-Feira,2,1,False,True
2011-06-14,2011,6,Junho,14,3,Terça-Feira,2,1,False,True
2011-06-15,2011,6,Junho,15,4,Quarta-Feira,2,1,False,True
2011-06-21,2011,6,Junho,21,3,Terça-Feira,2,1,False,True
2011-06-22,2011,6,Junho,22,4,Quarta-Feira,2,1,False,True
2011-06-24,2011,6,Junho,24,6,Sexta-Feira,2,1,False,True
2011-06-25,2011,6,Junho,25,7,Sábado,2,1,True,False
2011-06-28,2011,6,Junho,28,3,Terça-Feira,2,1,False,True
2011-06-29,2011,6,Junho,29,4,Quarta-Feira,2,1,False,True
2011-07-02,2011,7,Julho,2,7,Sábado,3,2,True,False
2011-07-04,2011,7,Julho,4,2,Segunda-Feira,3,2,False,True
2011-07-06,2011,7,Julho,6,4,Quarta-Feira,3,2,False,True
2011-07-07,2011,7,Julho,7,5,Quinta-Feira,3,2,False,True
2011-07-08,2011,7,Julho,8,6,Sexta-Feira,3,2,False,True
2011-07-09,2011,7,Julho,9,7,Sábado,3,2,True,False
2011-07-10,2011,7,Julho,10,1,Domingo,3,2,True,False
2011-07-11,2011,7,Julho,11,2,Segunda-Feira,3,2,False,True
2011-07-13,2011,7,Julho,13,4,Quarta-Feira,3,2,False,True
2011-07-14,2011,7,Julho,14,5,Quinta-Feira,3,2,False,True
2011-07-15,2011,7,Julho,15,6,Sexta-Feira,3,2,False,True
2011-07-16,2011,7,Julho,16,7,Sábado,3,2,True,False
2011-07-17,2011,7,Julho,17,1,Domingo,3,2,True,False
2011-07-18,2011,7,Julho,18,2,Segunda-Feira,3,2,False,True
2011-07-24,2011,7,Julho,24,1,Domingo,3,2,True,False
2011-07-27,2011,7,Julho,27,4,Quarta-Feira,3,2,False,True
2011-07-28,2011,7,Julho,28,5,Quinta-Feira,3,2,False,True
2011-07-29,2011,7,Julho,29,6,Sexta-Feira,3,2,False,True
2011-07-31,2011,7,Julho,31,1,Domingo,3,2,True,False
2011-08-01,2011,8,Agosto,1,2,Segunda-Feira,3,2,False,True
2011-08-02,2011,8,Agosto,2,3,Terça-Feira,3,2,False,True
2011-08-03,2011,8,Agosto,3,4,Quarta-Feira,3,2,False,True
2011-08-07,2011,8,Agosto,7,1,Domingo,3,2,True,False
2011-08-10,2011,8,Agosto,10,4,Quarta-Feira,3,2,False,True
2011-08-11,2011,8,Agosto,11,5,Quinta-Feira,3,2,False,True
2011-08-12,2011,8,Agosto,12,6,Sexta-Feira,3,2,False,True
2011-08-15,2011,8,Agosto,15,2,Segunda-Feira,3,2,False,True
2011-08-17,2011,8,Agosto,17,4,Quarta-Feira,3,2,False,True
2011-08-19,2011,8,Agosto,19,6,Sexta-Feira,3,2,False,True
2011-08-20,2011,8,Agosto,20,7,Sábado,3,2,True,False
2011-08-22,2011,8,Agosto,22,2,Segunda-Feira,3,2,False,True
2011-08-23,2011,8,Agosto,23,3,Terça-Feira,3,2,False,True
2011-08-24,2011,8,Agosto,24,4,Quarta-Feira,3,2,False,True
2011-08-25,2011,8,Agosto,25,5,Quinta-Feira,3,2,False,True
2011-08-26,2011,8,Agosto,26,6,Sexta-Feira,3,2,False,True
2011-08-27,2011,8,Agosto,27,7,Sábado,3,2,True,False
2011-08-28,2011,8,Agosto,28,1,Domingo,3,2,True,False
2011-08-31,2011,8,Agosto,31,4,Quarta-Feira,3,2,False,True
2011-09-01,2011,9,Setembro,1,5,Quinta-Feira,3,2,False,True
2011-09-02,2011,9,Setembro,2,6,Sexta-Feira,3,2,False,True
2011-09-03,2011,9,Setembro,3,7,Sábado,3,2,True,False
2011-09-09,2011,9,Setembro,9,6,Sexta-Feira,3,2,False,True
2011-09-11,2011,9,Setembro,11,1,Domingo,3,2,True,False
2011-09-12,2011,9,Setembro,12,2,Segunda-Feira,3,2,False,True
2011-09-14,2011,9,Setembro,14,4,Quarta-Feira,3,2,False,True
2011-09-15,2011,9,Setembro,15,5,Quinta-Feira,3,2,False,True
2011-09-16,2011,9,Setembro,16,6,Sexta-Feira,3,2,False,True
2011-09-17,2011,9,Setembro,17,7,Sábado,3,2,True,False
2011-09-18,2011,9,Setembro,18,1,Domingo,3,2,True,False
2011-09-19,2011,9,Setembro,19,2,Segunda-Feira,3,2,False,True
2011-09-20,2011,9,Setembro,20,3,Terça-Feira,3,2,False,True
2011-09-21,2011,9,Setembro,21,4,Quarta-Feira,3,2,False,True
2011-09-22,2011,9,Setembro,22,5,Quinta-Feira,3,2,False,True
2011-09-24,2011,9,Setembro,24,7,Sábado,3,2,True,False
2011-09-25,2011,9,Setembro,25,1,Domingo,3,2,True,False
2011-09-26,2011,9,Setembro,26,2,Segunda-Feira,3,2,False,True
2011-09-28,2011,9,Setembro,28,4,Quarta-Feira,3,2,False,True
2011-09-29,2011,9,Setembro,29,5,Quinta-Feira,3,2,False,True
2011-09-30,2011,9,Setembro,30,6,Sexta-Feira,3,2,False,True
2011-10-01,2011,10,Outubro,1,7,Sábado,4,2,True,False
2011-10-02,2011,10,Outubro,2,1,Domingo,4,2,True,False
2011-10-03,2011,10,Outubro,3,2,Segunda-Feira,4,2,False,True
2011-10-05,2011,10,Outubro,5,4,Quarta-Feira,4,2,False,True
2011-10-06,2011,10,Outubro,6,5,Quinta-Feira,4,2,False,True
2011-10-08,2011,10,Outubro,8,7,Sábado,4,2,True,False
2011-10-09,2011,10,Outubro,9,1,Domingo,4,2,True,False
2011-10-10,2011,10,Outubro,10,2,Segunda-Feira,4,2,False,True
2011-10-12,2011,10,Outubro,12,4,Quarta-Feira,4,2,False,True
2011-10-13,2011,10,Outubro,13,5,Quinta-Feira,4,2,False,True
2011-10-14,2011,10,Outubro,14,6,Sexta-Feira,4,2,False,True
2011-10-15,2011,10,Outubro,15,7,Sábado,4,2,True,False
2011-10-16,2011,10,Outubro,16,1,Domingo,4,2,True,False
2011-10-17,2011,10,Outubro,17,2,Segunda-Feira,4,2,False,True
2011-10-20,2011,10,Outubro,20,5,Quinta-Feira,4,2,False,True
2011-10-23,2011,10,Outubro,23,1,Domingo,4,2,True,False
2011-10-25,2011,10,Outubro,25,3,Terça-Feira,4,2,False,True
2011-10-29,2011,10,Outubro,29,7,Sábado,4,2,True,False
2011-10-30,2011,10,Outubro,30,1,Domingo,4,2,True,False
2011-10-31,2011,10,Outubro,31,2,Segunda-Feira,4,2,False,True
2011-11-03,2011,11,Novembro,3,5,Quinta-Feira,4,2,False,True
2011-11-06,2011,11,Novembro,6,1,Domingo,4,2,True,False
2011-11-09,2011,11,Novembro,9,4,Quarta-Feira,4,2,False,True
2011-11-10,2011,11,Novembro,10,5,Quinta-Feira,4,2,False,True
2011-11-12,2011,11,Novembro,12,7,Sábado,4,2,True,False
2011-11-13,2011,11,Novembro,13,1,Domingo,4,2,True,False
2011-11-14,2011,11,Novembro,14,2,Segunda-Feira,4,2,False,True
2011-11-16,2011,11,Novembro,16,4,Quarta-Feira,4,2,False,True
2011-11-17,2011,11,Novembro,17,5,Quinta-Feira,4,2,False,True
2011-11-19,2011,11,Novembro,19,7,Sábado,4,2,True,False
2011-11-21,2011,11,Novembro,21,2,Segunda-Feira,4,2,False,True
2011-11-22,2011,11,Novembro,22,3,Terça-Feira,4,2,False,True
2011-11-23,2011,11,Novembro,23,4,Quarta-Feira,4,2,False,True
2011-11-24,2011,11,Novembro,24,5,Quinta-Feira,4,2,False,True
2011-11-25,2011,11,Novembro,25,6,Sexta-Feira,4,2,False,True
2011-11-29,2011,11,Novembro,29,3,Terça-Feira,4,2,False,True
2011-11-30,2011,11,Novembro,30,4,Quarta-Feira,4,2,False,True
2011-12-01,2011,12,Dezembro,1,5,Quinta-Feira,4,2,False,True
2011-12-07,2011,12,Dezembro,7,4,Quarta-Feira,4,2,False,True
2011-12-08,2011,12,Dezembro,8,5,Quinta-Feira,4,2,False,True
2011-12-20,2011,12,Dezembro,20,3,Terça-Feira,4,2,False,True
2011-12-21,2011,12,Dezembro,21,4,Quarta-Feira,4,2,False,True
2011-12-24,2011,12,Dezembro,24,7,Sábado,4,2,True,False
2011-12-25,2011,12,Dezembro,25,1,Domingo,4,2,True,False
2011-12-26,2011,12,Dezembro,26,2,Segunda-Feira,4,2,False,True
2011-12-27,2011,12,Dezembro,27,3,Terça-Feira,4,2,False,True
2011-12-28,2011,12,Dezembro,28,4,Quarta-Feira,4,2,False,True
2011-12-29,2011,12,Dezembro,29,5,Quinta-Feira,4,2,False,True
2011-12-30,2011,12,Dezembro,30,6,Sexta-Feira,4,2,False,True
2011-12-31,2011,12,Dezembro,31,7,Sábado,4,2,True,False
2012-01-01,2012,1,Janeiro,1,1,Domingo,1,1,True,False
2012-01-03,2012,1,Janeiro,3,3,Terça-Feira,1,1,False,True
2012-01-04,2012,1,Janeiro,4,4,Quarta-Feira,1,1,False,True
2012-01-06,2012,1,Janeiro,6,6,Sexta-Feira,1,1,False,True
2012-01-08,2012,1,Janeiro,8,1,Domingo,1,1,True,False
2012-01-09,2012,1,Janeiro,9,2,Segunda-Feira,1,1,False,True
2012-01-10,2012,1,Janeiro,10,3,Terça-Feira,1,1,False,True
2012-01-11,2012,1,Janeiro,11,4,Quarta-Feira,1,1,False,True
2012-01-12,2012,1,Janeiro,12,5,Quinta-Feira,1,1,False,True
2012-01-13,2012,1,Janeiro,13,6,Sexta-Feira,1,1,False,True
2012-01-15,2012,1,Janeiro,15,1,Domingo,1,1,True,False
2012-01-18,2012,1,Janeiro,18,4,Quarta-Feira,1,1,False,True
2012-01-19,2012,1,Janeiro,19,5,Quinta-Feira,1,1,False,True
2012-01-21,2012,1,Janeiro,21,7,Sábado,1,1,True,False
2012-01-25,2012,1,Janeiro,25,4,Quarta-Feira,1,1,False,True
2012-01-26,2012,1,Janeiro,26,5,Quinta-Feira,1,1,False,True
2012-01-27,2012,1,Janeiro,27,6,Sexta-Feira,1,1,False,True
2012-01-28,2012,1,Janeiro,28,7,Sábado,1,1,True,False
2012-01-31,2012,1,Janeiro,31,3,Terça-Feira,1,1,False,True
2012-02-01,2012,2,Fevereiro,1,4,Quarta-Feira,1,1,False,True
2012-02-04,2012,2,Fevereiro,4,7,Sábado,1,1,True,False
2012-02-05,2012,2,Fevereiro,5,1,Domingo,1,1,True,False
2012-02-07,2012,2,Fevereiro,7,3,Terça-Feira,1,1,False,True
2012-02-09,2012,2,Fevereiro,9,5,Quinta-Feira,1,1,False,True
2012-02-10,2012,2,Fevereiro,10,6,Sexta-Feira,1,1,False,True
2012-02-11,2012,2,Fevereiro,11,7,Sábado,1,1,True,False
2012-02-13,2012,2,Fevereiro,13,2,Segunda-Feira,1,1,False,True
2012-02-15,2012,2,Fevereiro,15,4,Quarta-Feira,1,1,False,True
2012-02-20,2012,2,Fevereiro,20,2,Segunda-Feira,1,1,False,True
2012-02-21,2012,2,Fevereiro,21,3,Terça-Feira,1,1,False,True
2012-02-22,2012,2,Fevereiro,22,4,Quarta-Feira,1,1,False,True
2012-02-23,2012,2,Fevereiro,23,5,Quinta-Feira,1,1,False,True
2012-02-24,2012,2,Fevereiro,24,6,Sexta-Feira,1,1,False,True
2012-02-25,2012,2,Fevereiro,25,7,Sábado,1,1,True,False
2012-02-28,2012,2,Fevereiro,28,3,Terça-Feira,1,1,False,True
2012-03-04,2012,3,Março,4,1,Domingo,1,1,True,False
2012-03-05,2012,3,Março,5,2,Segunda-Feira,1,1,False,True
2012-03-07,2012,3,Março,7,4,Quarta-Feira,1,1,False,True
2012-03-09,2012,3,Março,9,6,Sexta-Feira,1,1,False,True
2012-03-10,2012,3,Março,10,7,Sábado,1,1,True,False
2012-03-12,2012,3,Março,12,2,Segunda-Feira,1,1,False,True
2012-03-13,2012,3,Março,13,3,Terça-Feira,1,1,False,True
2012-03-14,2012,3,Março,14,4,Quarta-Feira,1,1,False,True
2012-03-17,2012,3,Março,17,7,Sábado,1,1,True,False
2012-03-18,2012,3,Março,18,1,Domingo,1,1,True,False
2012-03-19,2012,3,Março,19,2,Segunda-Feira,1,1,False,True
2012-03-21,2012,3,Março,21,4,Quarta-Feira,1,1,False,True
2012-03-22,2012,3,Março,22,5,Quinta-Feira,1,1,False,True
2012-03-23,2012,3,Março,23,6,Sexta-Feira,1,1,False,True
2012-03-24,2012,3,Março,24,7,Sábado,1,1,True,False
2012-03-25,2012,3,Março,25,1,Domingo,1,1,True,False
2012-03-26,2012,3,Março,26,2,Segunda-Feira,1,1,False,True
2012-03-27,2012,3,Março,27,3,Terça-Feira,1,1,False,True
2012-03-28,2012,3,Março,28,4,Quarta-Feira,1,1,False,True
2012-03-29,2012,3,Março,29,5,Quinta-Feira,1,1,False,True
2012-03-30,2012,3,Março,30,6,Sexta-Feira,1,1,False,True
2012-03-31,2012,3,Março,31,7,Sábado,1,1,True,False
2012-04-01,2012,4,Abril,1,1,Domingo,2,1,True,False
2012-04-02,2012,4,Abril,2,2,Segunda-Feira,2,1,False,True
2012-04-03,2012,4,Abril,3,3,Terça-Feira,2,1,False,True
2012-04-04,2012,4,Abril,4,4,Quarta-Feira,2,1,False,True
2012-04-05,2012,4,Abril,5,5,Quinta-Feira,2,1,False,True
2012-04-06,2012,4,Abril,6,6,Sexta-Feira,2,1,False,True
2012-04-07,2012,4,Abril,7,7,Sábado,2,1,True,False
2012-04-08,2012,4,Abril,8,1,Domingo,2,1,True,False
2012-04-09,2012,4,Abril,9,2,Segunda-Feira,2,1,False,True
2012-04-10,2012,4,Abril,10,3,Terça-Feira,2,1,False,True
2012-04-11,2012,4,Abril,11,4,Quarta-Feira,2,1,False,True
2012-04-12,2012,4,Abril,12,5,Quinta-Feira,2,1,False,True
2012-04-13,2012,4,Abril,13,6,Sexta-Feira,2,1,False,True
2012-04-14,2012,4,Abril,14,7,Sábado,2,1,True,False
2012-04-15,2012,4,Abril,15,1,Domingo,2,1,True,False
2012-04-16,2012,4,Abril,16,2,Segunda-Feira,2,1,False,True
2012-04-17,2012,4,Abril,17,3,Terça-Feira,2,1,False,True
2012-04-18,2012,4,Abril,18,4,Quarta-Feira,2,1,False,True
2012-04-20,2012,4,Abril,20,6,Sexta-Feira,2,1,False,True
2012-04-21,2012,4,Abril,21,7,Sábado,2,1,True,False
2012-04-22,2012,4,Abril,22,1,Domingo,2,1,True,False
2012-04-24,2012,4,Abril,24,3,Terça-Feira,2,1,False,True
2012-04-26,2012,4,Abril,26,5,Quinta-Feira,2,1,False,True
2012-04-27,2012,4,Abril,27,6,Sexta-Feira,2,1,False,True
2012-04-28,2012,4,Abril,28,7,Sábado,2,1,True,False
2012-04-29,2012,4,Abril,29,1,Domingo,2,1,True,False
2012-04-30,2012,4,Abril,30,2,Segunda-Feira,2,1,False,True
2012-05-02,2012,5,Maio,2,4,Quarta-Feira,2,1,False,True
2012-05-03,2012,5,Maio,3,5,Quinta-Feira,2,1,False,True
2012-05-04,2012,5,Maio,4,6,Sexta-Feira,2,1,False,True
2012-05-05,2012,5,Maio,5,7,Sábado,2,1,True,False
2012-05-06,2012,5,Maio,6,1,Domingo,2,1,True,False
2012-05-07,2012,5,Maio,7,2,Segunda-Feira,2,1,False,True
2012-05-08,2012,5,Maio,8,3,Terça-Feira,2,1,False,True
2012-05-09,2012,5,Maio,9,4,Quarta-Feira,2,1,False,True
2012-05-11,2012,5,Maio,11,6,Sexta-Feira,2,1,False,True
2012-05-12,2012,5,Maio,12,7,Sábado,2,1,True,False
2012-05-14,2012,5,Maio,14,2,Segunda-Feira,2,1,False,True
2012-05-15,2012,5,Maio,15,3,Terça-Feira,2,1,False,True
2012-05-16,2012,5,Maio,16,4,Quarta-Feira,2,1,False,True
2012-05-17,2012,5,Maio,17,5,Quinta-Feira,2,1,False,True
2012-05-18,2012,5,Maio,18,6,Sexta-Feira,2,1,False,True
2012-05-19,2012,5,Maio,19,7,Sábado,2,1,True,False
2012-05-20,2012,5,Maio,20,1,Domingo,2,1,True,False
2012-05-21,2012,5,Maio,21,2,Segunda-Feira,2,1,False,True
2012-05-22,2012,5,Maio,22,3,Terça-Feira,2,1,False,True
2012-05-23,2012,5,Maio,23,4,Quarta-Feira,2,1,False,True
2012-05-24,2012,5,Maio,24,5,Quinta-Feira,2,1,False,True
2012-05-25,2012,5,Maio,25,6,Sexta-Feira,2,1,False,True
2012-05-26,2012,5,Maio,26,7,Sábado,2,1,True,False
2012-05-28,2012,5,Maio,28,2,Segunda-Feira,2,1,False,True
2012-05-29,2012,5,Maio,29,3,Terça-Feira,2,1,False,True
2012-05-30,2012,5,Maio,30,4,Quarta-Feira,2,1,False,True
2012-05-31,2012,5,Maio,31,5,Quinta-Feira,2,1,False,True
2012-06-01,2012,6,Junho,1,6,Sexta-Feira,2,1,False,True
2012-06-02,2012,6,Junho,2,7,Sábado,2,1,True,False
2012-06-04,2012,6,Junho,4,2,Segunda-Feira,2,1,False,True
2012-06-05,2012,6,Junho,5,3,Terça-Feira,2,1,False,True
2012-06-06,2012,6,Junho,6,4,Quarta-Feira,2,1,False,True
2012-06-07,2012,6,Junho,7,5,Quinta-Feira,2,1,False,True
2012-06-08,2012,6,Junho,8,6,Sexta-Feira,2,1,False,True
2012-06-09,2012,6,Junho,9,7,Sábado,2,1,True,False
2012-06-11,2012,6,Junho,11,2,Segunda-Feira,2,1,False,True
2012-06-12,2012,6,Junho,12,3,Terça-Feira,2,1,False,True
2012-06-15,2012,6,Junho,15,6,Sexta-Feira,2,1,False,True
2012-06-16,2012,6,Junho,16,7,Sábado,2,1,True,False
2012-06-17,2012,6,Junho,17,1,Domingo,2,1,True,False
2012-06-18,2012,6,Junho,18,2,Segunda-Feira,2,1,False,True
2012-06-19,2012,6,Junho,19,3,Terça-Feira,2,1,False,True
2012-06-23,2012,6,Junho,23,7,Sábado,2,1,True,False
2012-06-24,2012,6,Junho,24,1,Domingo,2,1,True,False
2012-06-25,2012,6,Junho,25,2,Segunda-Feira,2,1,False,True
2012-06-28,2012,6,Junho,28,5,Quinta-Feira,2,1,False,True
2012-06-29,2012,6,Junho,29,6,Sexta-Feira,2,1,False,True
2012-06-30,2012,6,Junho,30,7,Sábado,2,1,True,False
2012-07-01,2012,7,Julho,1,1,Domingo,3,2,True,False
2012-07-02,2012,7,Julho,2,2,Segunda-Feira,3,2,False,True
2012-07-03,2012,7,Julho,3,3,Terça-Feira,3,2,False,True
2012-07-04,2012,7,Julho,4,4,Quarta-Feira,3,2,False,True
2012-07-05,2012,7,Julho,5,5,Quinta-Feira,3,2,False,True
2012-07-06,2012,7,Julho,6,6,Sexta-Feira,3,2,False,True
2012-07-07,2012,7,Julho,7,7,Sábado,3,2,True,False
2012-07-08,2012,7,Julho,8,1,Domingo,3,2,True,False
2012-07-09,2012,7,Julho,9,2,Segunda-Feira,3,2,False,True
2012-07-10,2012,7,Julho,10,3,Terça-Feira,3,2,False,True
2012-07-12,2012,7,Julho,12,5,Quinta-Feira,3,2,False,True
2012-07-14,2012,7,Julho,14,7,Sábado,3,2,True,False
2012-07-15,2012,7,Julho,15,1,Domingo,3,2,True,False
2012-07-16,2012,7,Julho,16,2,Segunda-Feira,3,2,False,True
2012-07-18,2012,7,Julho,18,4,Quarta-Feira,3,2,False,True
2012-07-19,2012,7,Julho,19,5,Quinta-Feira,3,2,False,True
2012-07-20,2012,7,Julho,20,6,Sexta-Feira,3,2,False,True
2012-07-22,2012,7,Julho,22,1,Domingo,3,2,True,False
2012-07-24,2012,7,Julho,24,3,Terça-Feira,3,2,False,True
2012-07-26,2012,7,Julho,26,5,Quinta-Feira,3,2,False,True
2012-07-29,2012,7,Julho,29,1,Domingo,3,2,True,False
2012-07-30,2012,7,Julho,30,2,Segunda-Feira,3,2,False,True
2012-08-01,2012,8,Agosto,1,4,Quarta-Feira,3,2,False,True
2012-08-04,2012,8,Agosto,4,7,Sábado,3,2,True,False
2012-08-05,2012,8,Agosto,5,1,Domingo,3,2,True,False
2012-08-06,2012,8,Agosto,6,2,Segunda-Feira,3,2,False,True
2012-08-08,2012,8,Agosto,8,4,Quarta-Feira,3,2,False,True
2012-08-15,2012,8,Agosto,15,4,Quarta-Feira,3,2,False,True
2012-08-16,2012,8,Agosto,16,5,Quinta-Feira,3,2,False,True
2012-08-17,2012,8,Agosto,17,6,Sexta-Feira,3,2,False,True
2012-08-18,2012,8,Agosto,18,7,Sábado,3,2,True,False
2012-08-19,2012,8,Agosto,19,1,Domingo,3,2,True,False
2012-08-20,2012,8,Agosto,20,2,Segunda-Feira,3,2,False,True
2012-08-21,2012,8,Agosto,21,3,Terça-Feira,3,2,False,True
