cod_proposta,cod_cliente,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,cod_colaborador,taxa_juros_mensal_decimal,data_entrada_date
1034,85,2011-04-19 07:51:00,0.0201,24695.16,31300.02,6604.86,560.41,109,2,Em análise,80,,020100,2011-04-19
1035,702,2015-04-30 14:52:51,0.0082,33306.62,59682.83,26376.21,455.69,112,5,Em análise,43,,008200,2015-04-30
1036,9,2021-02-12 15:45:40,0.0094,7407.43,9572.69,2165.26,218.55,41,4,Enviada,53,,009400,2021-02-12
1037,442,2022-01-20 05:30:48,0.0156,144531.28,188545.92,44014.64,5171.01,37,0,Validação documentos,73,,015600,2022-01-20
1038,869,2021-10-11 21:46:17,0.0242,110637.04,151119.98,40482.94,5006.87,32,6,Enviada,45,,024200,2021-10-11
1039,290,2014-06-01 22:09:39,0.0219,97385.14,171930.90,74545.76,2785.07,67,1,Enviada,96,,021900,2014-06-01
104,921,2012-04-02 08:36:34,0.0190,19286.33,35071.35,15785.02,419.33,110,4,Enviada,18,,019000,2012-04-02
1040,352,2016-08-11 18:19:52,0.0190,77344.54,127506.91,50162.37,1920.32,77,0,Em análise,96,,019000,2016-08-11
1041,212,2019-11-29 02:00:03,0.0248,98973.46,150203.57,51230.11,3345.76,54,2,Em análise,90,,024800,2019-11-29
1042,275,2015-04-28 08:26:36,0.0118,29483.43,38574.48,9091.05,1206.45,29,2,Validação documentos,18,,011800,2015-04-28
1043,498,2019-01-24 16:07:36,0.0201,174936.56,237688.64,62752.08,3895.89,117,6,Aprovada,69,,020100,2019-01-24
1044,715,2022-01-19 00:20:20,0.0125,23515.68,39177.73,15662.05,541.54,63,3,Validação documentos,16,,012500,2022-01-19
1045,934,2016-05-15 21:08:53,0.0212,180566.24,239033.99,58467.75,13425.47,16,3,Enviada,4,,021200,2016-05-15
1046,176,2010-11-15 16:03:28,0.0211,178393.04,214294.19,35901.15,10219.66,22,4,Enviada,1,,021100,2010-11-15
1047,166,2018-02-13 23:05:51,0.0141,25122.99,32393.19,7270.20,1032.80,30,5,Validação documentos,55,,014100,2018-02-13
1048,312,2014-01-21 22:10:34,0.0246,30306.62,39075.93,8769.31,1060.03,50,0,Validação documentos,97,,024600,2014-01-21
1049,223,2011-09-04 13:40:23,0.0089,52143.49,89547.76,37404.27,4997.19,11,2,Enviada,87,,008900,2011-09-04
105,948,2016-08-08 01:19:26,0.0212,5054.66,9340.30,4285.64,125.35,92,2,Aprovada,88,,021200,2016-08-08
1050,891,2012-03-10 14:09:44,0.0195,16830.04,20661.10,3831.06,376.84,106,1,Validação documentos,11,,019500,2012-03-10
1051,186,2022-10-29 12:50:30,0.0109,45247.52,77025.27,31777.75,1069.97,57,0,Em análise,97,,010900,2022-10-29
1052,519,2017-01-15 21:55:52,0.0122,134593.16,185262.80,50669.64,3779.70,47,4,Validação documentos,66,,012200,2017-01-15
1053,852,2014-03-12 21:45:07,0.0149,35324.85,53339.03,18014.18,2497.75,16,4,Enviada,100,,014900,2014-03-12
1054,844,2014-07-27 17:14:46,0.0096,12756.53,24664.06,11907.53,267.71,64,2,Aprovada,46,,009600,2014-07-27
1055,487,2018-01-03 23:02:39,0.0113,47878.02,86591.03,38713.01,1222.63,52,3,Enviada,45,,011300,2018-01-03
1056,857,2012-10-17 12:05:28,0.0233,7978.49,13850.05,5871.56,212.65,90,0,Validação documentos,71,,023300,2012-10-17
1057,345,2018-12-02 11:26:32,0.0121,89573.82,133208.94,43635.12,1629.13,91,6,Aprovada,24,,012100,2018-12-02
1058,44,2014-03-29 13:57:44,0.0080,112878.57,162656.39,49777.82,2942.72,46,1,Em análise,26,,008000,2014-03-29
1059,664,2015-02-13 08:23:23,0.0130,130742.02,241005.07,110263.05,7465.87,20,1,Aprovada,20,,013000,2015-02-13
106,114,2021-01-27 03:13:52,0.0091,95446.24,131196.90,35750.66,1495.19,96,3,Enviada,60,,009100,2021-01-27
1060,973,2013-03-03 12:07:42,0.0181,55162.33,97950.92,42788.59,1193.40,101,1,Aprovada,45,,018100,2013-03-03
1061,706,2019-04-05 08:25:36,0.0136,103239.02,162632.47,59393.45,2276.50,71,2,Em análise,15,,013600,2019-04-05
1062,923,2013-12-16 12:48:43,0.0091,36855.89,64696.45,27840.56,9424.54,4,1,Enviada,55,,009100,2013-12-16
1063,284,2022-04-12 22:10:23,0.0217,118281.38,225897.45,107616.07,2827.64,111,6,Em análise,77,,021700,2022-04-12
1064,831,2012-09-01 14:17:08,0.0237,112233.01,175543.59,63310.58,3706.05,54,5,Aprovada,94,,023700,2012-09-01
1065,400,2019-07-12 13:08:43,0.0180,91507.72,175569.20,84061.48,3786.78,32,6,Em análise,29,,018000,2019-07-12
1066,534,2019-11-22 19:41:04,0.0104,21706.49,42951.18,21244.69,1399.66,17,6,Enviada,36,,010400,2019-11-22
1067,986,2022-09-04 04:31:22,0.0093,104304.80,190050.37,85745.57,1740.94,88,1,Enviada,37,,009300,2022-09-04
1068,219,2015-02-04 07:48:16,0.0204,40254.62,71168.65,30914.03,1725.26,32,4,Em análise,14,,020400,2015-02-04
1069,304,2022-01-22 22:34:40,0.0164,101745.77,142646.60,40900.83,2052.98,103,6,Aprovada,7,,016400,2022-01-22
107,703,2020-02-12 13:44:17,0.0179,19079.46,28902.62,9823.16,1926.29,11,0,Enviada,75,,017900,2020-02-12
1070,527,2022-04-13 23:49:59,0.0210,163470.99,217503.14,54032.15,3986.42,95,0,Aprovada,93,,021000,2022-04-13
1071,852,2013-05-26 10:06:06,0.0229,142169.35,186270.44,44101.09,4417.06,59,6,Em análise,91,,022900,2013-05-26
1072,650,2012-11-08 17:36:52,0.0170,5222.65,9443.42,4220.77,703.75,8,3,Validação documentos,66,,017000,2012-11-08
1073,979,2016-08-07 08:21:22,0.0099,185333.34,226866.22,41532.88,4791.93,49,4,Aprovada,89,,009900,2016-08-07
1074,574,2019-01-27 07:14:07,0.0096,20823.66,38488.39,17664.73,851.67,28,3,Enviada,32,,009600,2019-01-27
1075,647,2011-10-03 05:49:21,0.0139,28527.40,41765.89,13238.49,651.27,68,3,Validação documentos,64,,013900,2011-10-03
1076,442,2011-06-19 03:27:20,0.0102,67935.33,85140.20,17204.87,4372.97,17,6,Em análise,5,,010200,2011-06-19
1077,181,2011-05-23 22:12:07,0.0081,69724.34,122830.14,53105.80,1323.03,69,0,Em análise,82,,008100,2011-05-23
1078,395,2014-02-19 03:14:51,0.0244,39138.66,49429.78,10291.12,20288.44,2,5,Validação documentos,54,,024400,2014-02-19
1079,569,2017-08-30 14:01:22,0.0097,41168.58,52200.81,11032.23,660.99,96,3,Validação documentos,36,,009700,2017-08-30
108,322,2015-09-09 21:35:42,0.0236,16522.42,25092.26,8569.84,882.47,25,5,Em análise,31,,023600,2015-09-09
1080,784,2017-01-06 21:21:47,0.0224,75637.69,104212.88,28575.19,1982.87,87,2,Em análise,60,,022400,2017-01-06
1081,192,2016-09-28 11:48:55,0.0115,45401.10,73863.63,28462.53,1298.05,45,5,Enviada,81,,011500,2016-09-28
1082,918,2011-04-22 04:39:48,0.0109,78303.61,95991.34,17687.73,2768.49,34,5,Em análise,39,,010900,2011-04-22
1083,820,2012-09-07 00:10:10,0.0155,105206.31,194504.44,89298.13,1965.96,115,6,Validação documentos,47,,015500,2012-09-07
1084,126,2022-08-08 23:34:41,0.0221,133629.73,165005.29,31375.56,3645.45,76,1,Validação documentos,42,,022100,2022-08-08
1085,328,2010-10-09 18:29:03,0.0115,138021.30,166540.49,28519.19,5975.63,27,6,Em análise,40,,011500,2010-10-09
1086,697,2010-11-30 10:23:32,0.0084,39829.41,47152.24,7322.83,598.01,98,6,Validação documentos,71,,008400,2010-11-30
1087,86,2011-02-21 12:57:02,0.0181,141117.54,168527.69,27410.15,3680.85,66,6,Validação documentos,80,,018100,2011-02-21
1088,358,2014-03-28 03:47:41,0.0202,67799.94,112570.98,44771.04,1647.41,89,3,Validação documentos,43,,020200,2014-03-28
1089,539,2022-12-15 03:49:02,0.0234,188744.63,235327.59,46582.96,5980.02,58,5,Aprovada,24,,023400,2022-12-15
109,902,2013-10-18 06:45:28,0.0250,155048.82,208071.45,53022.63,9580.05,21,1,Enviada,27,,025000,2013-10-18
1090,549,2020-03-16 03:57:53,0.0115,17127.83,22575.01,5447.18,316.85,85,1,Em análise,58,,011500,2020-03-16
1091,967,2014-12-02 17:51:49,0.0085,90643.97,136585.04,45941.07,1552.73,81,4,Validação documentos,69,,008500,2014-12-02
1092,767,2012-07-06 23:57:48,0.0084,129802.84,196604.34,66801.50,65720.32,2,4,Em análise,31,,008400,2012-07-06
1093,53,2016-02-03 09:45:56,0.0144,22818.67,33318.64,10499.97,692.52,45,5,Aprovada,37,,014400,2016-02-03
1094,414,2015-01-22 16:32:59,0.0087,39981.23,55367.03,15385.80,1040.05,47,6,Enviada,51,,008700,2015-01-22
1095,908,2021-09-16 20:13:33,0.0150,19128.15,37501.87,18373.72,462.73,65,5,Validação documentos,15,,015000,2021-09-16
1096,418,2010-05-20 19:44:32,0.0161,9723.63,18409.48,8685.85,382.14,33,1,Aprovada,82,,016100,2010-05-20
1097,26,2022-06-28 16:07:43,0.0214,145855.94,182661.44,36805.50,4270.31,62,6,Em análise,34,,021400,2022-06-28
1098,456,2013-05-25 07:37:01,0.0227,73201.54,95229.01,22027.47,1782.23,120,6,Aprovada,18,,022700,2013-05-25
1099,621,2015-10-10 19:35:33,0.0157,11569.14,19598.82,8029.68,258.26,78,3,Enviada,33,,015700,2015-10-10
11,706,2015-04-12 04:33:31,0.0178,7450.56,11583.22,4132.66,152.29,116,1,Em análise,23,,017800,2015-04-12
110,133,2016-06-10 20:05:34,0.0130,84783.26,155668.88,70885.62,1687.25,82,3,Em análise,80,,013000,2016-06-10
1100,904,2017-06-29 09:05:28,0.0220,168843.92,244055.69,75211.77,5054.88,61,2,Em análise,26,,022000,2017-06-29
1101,968,2015-01-13 15:50:20,0.0131,94186.22,138555.04,44368.82,5907.75,18,3,Validação documentos,82,,013100,2015-01-13
1102,991,2015-08-25 05:10:22,0.0227,58849.50,96878.29,38028.79,1479.17,104,5,Aprovada,78,,022700,2015-08-25
1103,197,2020-11-07 12:35:19,0.0142,88369.70,164966.27,76596.57,2671.02,45,6,Em análise,39,,014200,2020-11-07
1104,938,2016-09-25 19:11:45,0.0089,99604.28,189103.76,89499.48,1776.55,78,3,Aprovada,48,,008900,2016-09-25
1105,545,2021-10-31 22:17:07,0.0214,82652.12,128271.69,45619.57,2222.95,75,3,Em análise,60,,021400,2021-10-31
1106,245,2015-01-26 02:42:19,0.0128,25582.20,34251.82,8669.62,426.16,115,4,Em análise,39,,012800,2015-01-26
1107,980,2022-11-18 17:45:26,0.0159,19349.66,36140.87,16791.21,412.13,87,6,Em análise,11,,015900,2022-11-18
1108,716,2014-01-01 17:40:10,0.0168,135794.46,207700.80,71906.34,3242.16,73,6,Em análise,84,,016800,2014-01-01
1109,868,2013-09-06 13:39:17,0.0232,82474.21,104582.66,22108.45,4384.72,25,3,Aprovada,13,,023200,2013-09-06
111,85,2019-09-01 08:52:49,0.0146,68341.84,81810.30,13468.46,1361.99,91,5,Em análise,72,,014600,2019-09-01
1110,559,2012-11-06 06:03:56,0.0219,116305.09,212517.42,96212.33,4886.55,34,4,Enviada,85,,021900,2012-11-06
1111,866,2020-02-29 21:24:08,0.0162,170587.19,205008.03,34420.84,4227.09,66,1,Validação documentos,64,,016200,2020-02-29
1112,50,2019-01-18 01:35:51,0.0104,84144.26,159937.79,75793.53,1750.11,67,6,Aprovada,71,,010400,2019-01-18
1113,70,2021-01-06 05:30:01,0.0201,71453.78,104460.86,33007.08,1663.61,100,4,Enviada,20,,020100,2021-01-06
1114,545,2014-05-29 05:01:57,0.0147,143079.42,182739.35,39659.93,3568.40,61,2,Validação documentos,76,,014700,2014-05-29
1115,380,2017-10-05 18:40:10,0.0166,94737.13,182392.49,87655.36,2611.20,56,2,Enviada,99,,016600,2017-10-05
1116,542,2018-12-17 22:54:10,0.0230,5994.88,9762.65,3767.77,148.25,117,5,Em análise,97,,023000,2018-12-17
1117,163,2022-05-31 00:13:10,0.0095,122068.51,186353.63,64285.12,18107.28,7,6,Aprovada,23,,009500,2022-05-31
1118,776,2017-10-21 23:50:07,0.0100,34437.44,47305.91,12868.47,1563.69,25,2,Enviada,32,,010000,2017-10-21
1119,894,2010-04-24 13:53:58,0.0173,22935.52,36492.52,13557.00,506.94,89,0,Validação documentos,3,,017300,2010-04-24
112,379,2010-07-16 00:24:11,0.0147,4014.16,6914.30,2900.14,73.31,112,3,Validação documentos,81,,014700,2010-07-16
1120,114,2011-10-04 08:23:32,0.0129,6214.07,9537.71,3323.64,282.84,26,4,Enviada,6,,012900,2011-10-04
1121,572,2010-01-07 12:30:10,0.0247,185357.39,234345.58,48988.19,4913.90,110,2,Enviada,8,,024700,2010-01-07
1122,304,2013-09-07 19:10:04,0.0118,117501.07,146408.91,28907.84,1948.39,106,6,Aprovada,65,,011800,2013-09-07
1123,764,2020-07-08 01:44:02,0.0208,135426.18,188292.24,52866.06,3108.16,115,1,Validação documentos,24,,020800,2020-07-08
1124,144,2016-02-18 07:47:02,0.0226,3067.28,4776.17,1708.89,172.48,23,5,Enviada,41,,022600,2016-02-18
1125,245,2014-07-22 06:28:52,0.0218,32834.26,58728.52,25894.26,875.06,79,6,Aprovada,64,,021800,2014-07-22
1126,213,2021-03-04 09:06:04,0.0095,87235.55,103873.90,16638.35,44240.31,2,5,Enviada,19,,009500,2021-03-04
1127,518,2020-05-03 07:29:37,0.0148,53583.39,78606.22,25022.83,18392.41,3,0,Aprovada,91,,014800,2020-05-03
1128,331,2015-04-13 18:35:01,0.0150,56316.20,69678.10,13361.90,1020.94,118,1,Aprovada,78,,015000,2015-04-13
1129,39,2016-09-08 07:30:40,0.0124,157306.03,218078.88,60772.85,2675.04,106,1,Enviada,72,,012400,2016-09-08
113,176,2021-12-10 00:25:09,0.0221,124489.84,232380.19,107890.35,4051.17,52,6,Enviada,96,,022100,2021-12-10
1130,15,2022-07-24 21:05:07,0.0110,30531.58,41233.61,10702.03,489.29,106,3,Aprovada,97,,011000,2022-07-24
1131,339,2016-01-14 03:23:35,0.0204,156131.71,202085.57,45953.86,5196.49,47,6,Em análise,75,,020400,2016-01-14
1132,819,2017-05-07 23:00:05,0.0212,100487.26,124271.71,23784.45,9572.20,12,4,Enviada,31,,021200,2017-05-07
1133,429,2021-11-25 11:40:40,0.0124,68285.27,125287.26,57001.99,1189.28,101,0,Aprovada,62,,012400,2021-11-25
1134,493,2012-12-05 22:55:43,0.0084,65569.51,113743.79,48174.28,16738.06,4,6,Enviada,86,,008400,2012-12-05
1135,658,2019-01-17 19:51:56,0.0108,53655.20,84533.02,30877.82,27262.99,2,4,Aprovada,16,,010800,2019-01-17
1136,940,2022-07-25 01:31:49,0.0243,49883.45,91065.36,41181.91,2132.48,35,2,Aprovada,72,,024300,2022-07-25
1137,805,2016-07-13 19:04:21,0.0120,126234.06,158179.72,31945.66,5501.32,27,6,Em análise,76,,012000,2016-07-13
1138,425,2013-02-20 06:54:00,0.0154,175996.63,214598.60,38601.97,8265.78,26,2,Validação documentos,26,,015400,2013-02-20
1139,753,2018-06-11 22:36:09,0.0173,64453.97,80451.88,15997.91,1349.71,102,1,Em análise,8,,017300,2018-06-11
114,270,2021-04-07 17:48:28,0.0144,115692.95,226264.07,110571.12,2571.54,73,3,Validação documentos,83,,014400,2021-04-07
1140,63,2020-05-29 05:16:15,0.0138,60985.25,77884.05,16898.80,1223.12,85,1,Em análise,55,,013800,2020-05-29
1141,57,2016-12-08 06:51:57,0.0190,25852.69,48288.60,22435.91,645.64,76,4,Em análise,28,,019000,2016-12-08
1142,421,2013-11-09 14:44:15,0.0221,101099.94,153347.25,52247.31,2758.03,76,5,Aprovada,53,,022100,2013-11-09
1143,681,2010-12-03 12:36:06,0.0206,61946.48,78942.57,16996.09,1408.37,116,0,Validação documentos,81,,020600,2010-12-03
1144,235,2010-07-14 19:20:51,0.0118,108675.98,210629.13,101953.15,2662.96,56,4,Em análise,18,,011800,2010-07-14
1145,849,2021-01-11 01:56:28,0.0202,134658.77,175034.36,40375.59,3358.82,83,5,Enviada,36,,020200,2021-01-11
1146,37,2018-07-20 04:46:38,0.0149,122743.55,240955.66,118212.11,2202.18,120,1,Validação documentos,9,,014900,2018-07-20
1147,853,2015-04-13 04:42:04,0.0242,43718.45,67193.24,23474.79,4574.46,11,3,Em análise,56,,024200,2015-04-13
1148,796,2020-08-27 12:35:25,0.0202,34039.66,44390.49,10350.83,1192.07,43,5,Em análise,92,,020200,2020-08-27
1149,204,2020-07-14 02:41:18,0.0244,8810.70,14833.47,6022.77,227.92,119,6,Em análise,84,,024400,2020-07-14
115,463,2012-10-26 11:14:32,0.0202,63254.60,87764.13,24509.53,1524.84,91,0,Em análise,94,,020200,2012-10-26
1150,448,2011-01-17 21:57:55,0.0239,177185.45,228871.58,51686.13,9496.32,25,5,Aprovada,35,,023900,2011-01-17
1151,200,2015-05-19 07:38:06,0.0230,41882.61,55429.71,13547.10,1523.44,44,1,Validação documentos,58,,023000,2015-05-19
1152,772,2014-09-01 23:38:14,0.0219,35977.97,60449.42,24471.45,936.43,85,5,Aprovada,76,,021900,2014-09-01
1153,501,2020-05-12 00:10:40,0.0220,2353.70,3488.27,1134.57,69.40,63,3,Validação documentos,73,,022000,2020-05-12
1154,326,2014-08-03 01:53:03,0.0111,166623.72,228895.44,62271.72,2550.52,117,2,Validação documentos,49,,011100,2014-08-03
1155,707,2011-04-30 01:21:13,0.0087,15848.66,19948.27,4099.61,218.62,115,5,Validação documentos,47,,008700,2011-04-30
1156,669,2022-11-03 05:06:09,0.0201,7234.21,10905.53,3671.32,210.46,59,6,Aprovada,2,,020100,2022-11-03
1157,648,2018-09-20 03:06:43,0.0240,78447.71,99704.19,21256.48,4799.45,21,0,Validação documentos,84,,024000,2018-09-20
1158,985,2022-02-28 18:30:43,0.0189,82772.42,128290.86,45518.44,3322.05,34,4,Aprovada,21,,018900,2022-02-28
1159,332,2017-08-14 11:30:11,0.0123,12489.68,19344.59,6854.91,326.56,52,4,Enviada,15,,012300,2017-08-14
116,338,2014-05-30 18:43:12,0.0194,36199.95,50032.03,13832.08,1045.22,58,0,Enviada,1,,019400,2014-05-30
1160,67,2012-09-15 06:41:15,0.0098,12906.94,15601.18,2694.24,308.96,54,5,Aprovada,81,,009800,2012-09-15
1161,466,2012-02-25 10:38:52,0.0243,135995.57,202864.43,66868.86,3904.88,78,3,Em análise,10,,024300,2012-02-25
1162,812,2011-11-30 14:01:58,0.0102,162134.06,214281.02,52146.96,2800.17,88,5,Validação documentos,30,,010200,2011-11-30
1163,644,2011-11-24 10:44:25,0.0231,75382.98,102354.31,26971.33,2124.53,75,6,Em análise,97,,023100,2011-11-24
1164,276,2022-09-15 04:18:16,0.0178,81768.64,163246.11,81477.47,1709.82,108,1,Enviada,49,,017800,2022-09-15
1165,762,2021-09-05 10:11:36,0.0229,91244.25,174521.30,83277.05,2769.98,62,2,Aprovada,20,,022900,2021-09-05
1166,11,2021-08-24 19:21:46,0.0135,129204.21,155483.49,26279.28,2434.44,94,0,Enviada,73,,013500,2021-08-24
1167,204,2014-06-18 10:14:22,0.0111,132997.94,170799.29,37801.35,2233.34,98,3,Validação documentos,57,,011100,2014-06-18
1168,938,2011-11-19 11:40:19,0.0109,134829.49,180975.48,46145.99,4548.14,36,6,Validação documentos,4,,010900,2011-11-19
1169,115,2018-08-30 07:16:52,0.0165,132221.19,227756.23,95535.04,2953.50,82,2,Validação documentos,28,,016500,2018-08-30
117,199,2017-08-05 14:43:50,0.0195,127990.13,174164.23,46174.10,3028.35,90,1,Enviada,86,,019500,2017-08-05
1170,523,2011-04-10 08:39:58,0.0111,36747.68,50821.87,14074.19,591.44,106,4,Enviada,32,,011100,2011-04-10
1171,732,2020-05-04 21:51:58,0.0242,40476.96,56464.88,15987.92,20976.06,2,0,Enviada,1,,024200,2020-05-04
1172,35,2012-05-10 13:55:07,0.0090,57051.68,85287.56,28235.88,28911.51,2,6,Aprovada,84,,009000,2012-05-10
1173,484,2016-12-10 20:34:20,0.0080,98816.89,164708.79,65891.90,1324.58,114,0,Validação documentos,59,,008000,2016-12-10
1174,389,2018-03-10 21:33:05,0.0096,45133.66,53404.00,8270.34,1140.82,50,6,Aprovada,43,,009600,2018-03-10
1175,230,2015-05-01 17:02:44,0.0207,26189.27,41339.86,15150.59,600.18,114,0,Aprovada,22,,020700,2015-05-01
1176,185,2012-05-22 15:58:45,0.0225,45004.70,87601.63,42596.93,1212.58,81,6,Aprovada,13,,022500,2012-05-22
1177,828,2016-09-02 01:17:34,0.0145,36533.84,60981.72,24447.88,3617.14,11,5,Enviada,42,,014500,2016-09-02
1178,664,2022-10-02 06:14:43,0.0205,41309.92,60180.57,18870.65,1039.82,83,4,Aprovada,89,,020500,2022-10-02
1179,659,2013-07-24 03:51:56,0.0219,4654.68,7574.38,2919.70,218.53,29,0,Aprovada,43,,021900,2013-07-24
118,111,2019-07-21 10:46:13,0.0206,110206.59,174949.50,64742.91,3026.73,68,3,Validação documentos,24,,020600,2019-07-21
1180,750,2010-10-21 02:12:09,0.0193,102268.52,158960.17,56691.65,3098.91,53,0,Validação documentos,34,,019300,2010-10-21
1181,867,2016-10-17 17:54:45,0.0137,131801.63,246764.83,114963.20,2781.10,77,6,Em análise,100,,013700,2016-10-17
1182,376,2022-06-10 03:54:48,0.0126,113718.30,176885.40,63167.10,7473.19,17,4,Validação documentos,24,,012600,2022-06-10
1183,297,2016-12-02 02:48:59,0.0198,136515.72,234283.67,97767.95,3248.55,91,2,Em análise,69,,019800,2016-12-02
1184,426,2019-04-18 20:56:19,0.0176,42785.37,82958.29,40172.92,1262.69,52,6,Enviada,77,,017600,2019-04-18
1185,535,2017-08-01 09:47:51,0.0225,121875.12,145161.31,23286.19,16816.89,8,5,Aprovada,5,,022500,2017-08-01
1186,922,2012-06-22 12:24:15,0.0149,103774.64,126481.67,22707.03,1904.25,113,4,Enviada,49,,014900,2012-06-22
1187,86,2020-12-17 04:14:39,0.0205,127345.90,162276.53,34930.63,3399.15,72,1,Aprovada,18,,020500,2020-12-17
